MSN,YYYYMM,Value,Column_Order,Description,Unit
CPUCIUS,200703,205.352,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200704,206.686,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200705,207.949,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200706,208.352,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200707,208.299,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200708,207.917,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200709,208.49,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200710,208.936,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200711,210.177,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200712,210.036,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200713,207.342,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200801,211.08,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200802,211.693,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200803,213.528,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200804,214.823,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200805,216.632,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200806,218.815,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200807,219.964,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200808,219.086,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200809,218.783,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200810,216.573,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200811,212.425,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200812,210.228,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200813,215.303,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200901,211.143,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200902,212.193,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200903,212.709,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200904,213.24,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200905,213.856,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200906,215.693,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200907,215.351,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200908,215.834,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200909,215.969,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200910,216.177,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200911,216.33,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200912,215.949,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200913,214.537,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201001,216.687,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201002,216.741,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201003,217.631,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201004,218.009,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201005,218.178,1,Consumer Price Index (Urban),Index 1982-1984 = 100
