Country,Regioncode,Region,Variable,Year,AGR,MIN,MAN,PU,CON,WRT,TRA,FIRE,GOV,OTH,SUM
CRI,LAM,Latin America,EMP,1967,199.0701633843766,1.254500650791513,54.07994287593473,4.122465539138791,26.83816177603983,41.91674985200115,16.28462522314474,9.712980375734768,54.03418453899313,27.9748241753525,435.2885983915078
CRI,LAM,Latin America,EMP,1968,201.3115533895618,1.335402356119079,58.54119429399763,4.56794758139954,28.94917724658612,43.64311120008669,17.55499694226805,10.03035497533248,55.92836871695567,29.11303430585697,450.9751410081641
CRI,LAM,Latin America,EMP,1969,202.4719468734323,1.384323759821156,61.71222711350099,4.873722568732004,30.08938354203925,45.53099634067206,19.60671779125533,10.63121746303798,59.93624992919241,30.99019588744304,467.2269812691265
CRI,LAM,Latin America,EMP,1970,202.6123729760509,1.4235061333212,64.53227804389442,5.219522488844401,31.31713493306641,50.77171875512281,19.92908586649681,11.0997208154203,65.45182395540404,33.24460128819919,485.6017652558205
CRI,LAM,Latin America,EMP,1971,202.3462548173018,1.462242634825373,68.26916828616012,5.643839180136453,35.67734400305915,53.42322756598303,20.48923356997092,11.69654098383229,70.49863040610549,36.11503006969235,505.6215115170669
CRI,LAM,Latin America,EMP,1972,199.8146868575349,1.525713287561146,73.36106267310875,5.865910558795413,42.00593547387597,57.53594973984372,20.9858920930713,12.10848747999344,75.35358891252508,37.90937827905318,526.4666053553628
CRI,LAM,Latin America,EMP,1973,199.7926874612089,1.607769582627242,79.61666996087531,5.987993219253567,42.33737020211199,63.29014532847044,22.63429799923968,13.06918866248006,79.67465708683474,40.16029360410648,548.1710731072085
CRI,LAM,Latin America,EMP,1974,198.2062612239698,1.71259832922693,87.34202015738316,6.225732570504118,44.10054565420756,62.92788063676762,23.73360150527751,14.04273998599174,86.71579972637727,43.29763346891797,568.3048132586238
CRI,LAM,Latin America,EMP,1975,207.0318392241462,1.765769650348803,92.74473835453963,6.406059056288277,47.63504594578825,63.82762149452773,24.49465783983689,15.45227006349387,93.65306693193456,46.33106075450873,599.3421293154129
CRI,LAM,Latin America,EMP,1976,208.1916867616089,1.78386500123774,96.49498278768966,6.696750510054152,56.18562144673007,70.30708304072017,24.065311376347,16.03504732949369,97.22421003511781,48.1650866538866,625.1496449428857
