countrycode,year,v_c,v_i,v_g,v_x,v_m,v_gdp,q_c,q_i,q_g,q_x,q_m,q_gdp,pop,xr,xr2,v_gfcf,q_gfcf,emp,avh
BWA,2012,57100.2,42673.5,21195.6,54112,67465,109870,47970.33621330227,44490.60088422846,22363.04326428103,61793.36477733053,74312.18846341188,109658.0725060144,2.089315,7.61914166666667,7.61914166666667,39803.5,38220.72184902163,.79400003,
BWA,2013,65109.5,36807.9,23214.7,77000.673828,76385.29455599999,125158,52813.15533328402,40011.2510485058,25581.28026948098,85152.61321297688,81753.74229895731,122096.9622404687,2.128507,8.398908333333329,8.398908333333329,41925.1,38992.43355507081,.84600002,
BWA,2014,68474.8,41133.648778,29077.7,88556.88501,78698.65173299999,145868,53261.92175769234,39243.13056627166,28339.04636292913,91739.72641673693,81879.84555989073,127163.1791592093,2.168573,8.976083333333341,8.976083333333341,44432.7,39566.14351227497,.87,
BWA,2015,76009.3,47622.207956,30056.7,77463.630615,79593.278442,146065.6875,55354.8949991249,48247.05054866942,29051.24581225692,76801.58993201968,83783.35613307607,125003.9960958944,2.209197,10.1290023854196,10.1290023854196,49643.39999999999,43030.38424962723,.89399999,
BWA,2016,80723.417542,48730.611792,31032.858826,84866.967529,73628.813354,170588.871094,56592.03178348328,45359.34996604174,29703.88004487651,77586.59288269182,79533.10188433266,130398.5227702651,2.25026,10.9011545372946,10.9011545372946,52985.8,44598.16247775871,.91299999,
BWA,2017,87421.25854499999,50616.240662,33158.315308,71734.75,61107.98657199999,180112.699219,59416.61904355547,40459.35023045722,30596.30487209722,67268.87135374543,60624.77248713221,133476.0383294684,2.291661,10.3474208771597,10.3474208771597,52182.96196,40423.10143057797,.93400002,
CAF,1960,28894.27379173251,7880.250715416732,7734.320016723586,9339.561202613269,13717.47934570487,40130.92749222919,262136.4370885049,193562.57179653,138508.9369186265,52359.94968286248,91415.75824173451,544189.0961710167,1.45904279059623,245.1950987171111,245.1950987171111,,,,
CAF,1961,30353.57330745171,9339.55936617372,8463.977328652476,11674.45074383602,15760.50863685361,44071.05617064887,271966.7848380136,225276.4234974299,145019.5610149498,65338.04819629141,105291.3504507522,570276.7083821566,1.486286915402103,245.260101158475,245.260101158475,,,,
CAF,1962,30937.29392379866,10361.07754810925,9047.698419097582,10944.79997720974,16782.02075099267,44508.85274635856,283981.7016743906,239493.0197348749,149162.6928945099,62652.91512619127,151152.9712637283,541807.9645325977,1.514750914009958,245.013900597112,245.013900597112,,,,
CAF,1963,33272.19056522389,10069.21116011693,9047.698419097582,11674.45074383601,17803.53792800234,46260.0147474168,262136.4533600894,231837.5331437025,141764.2533612547,65338.0481962914,115493.7373245121,542563.70944335,1.544469633184056,245.0164030385166,245.0164030385166,,,,
CAF,1964,34439.6378733624,11236.65848575216,11382.58784374823,14447.13277018272,20722.14917592373,50783.8721934494,247937.8489906763,249334.8226163837,165441.0914813732,79658.78593531904,129369.3717853156,552085.9739370778,1.575537656998822,245.0272062611658,245.0272062611658,,,,
CAF,1965,36044.87159346473,11528.51981087392,11966.30842790631,14593.06292350797,20284.35870382447,53848.40772044972,250122.3645053937,247148.0424774269,160705.1746685355,85029.08005928177,123656.6397897832,558841.70698893,1.618216764897313,245.0608976673939,245.0608976673939,,,,
CAF,1966,40568.72054619104,11966.30926712126,12112.23958651988,16052.37053220509,24078.55292109261,56621.09101453382,267597.7473590186,251522.1778612804,160705.1709684287,87714.21569528112,144282.6010316951,562762.6121279157,1.675453997514244,245.6784056015617,245.6784056015617,,,,
